fault_text1,fault_text2,semantic_similarity
传感器无输出信号，接线端子接触不良,传感器无输出信号，接线端子接触不良,0.53
液压缸动作卡顿，换向时出现滞涩现象,液压缸动作卡顿，换向时出现滞涩现象,0.64
轴承润滑脂干涸，出现干摩擦异响,轴承滚珠破损，振动频谱出现冲击峰值,0.52
液压缸压力不足，工作压力仅达额定60%,液压缸活塞杆变形，伸出时出现偏斜,0.58
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,离心泵密封泄漏，机械密封端面磨损,0.25
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,电机过载停机，故障代码E012，需重启复位,0.86
电机连续运行8小时后出现异响，振动值超额定20%,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.87
电机负载达额定120%时出现过热，绕组温度升至105℃,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.66
传感器抗干扰差，受电磁干扰出现跳变,传感器数值漂移，测量值比实际值高10%,0.97
继电器吸合不良，线圈电压正常但触点未闭合,继电器触点烧蚀，接触电阻增大至5Ω,0.81
轴承滚珠破损，振动频谱出现冲击峰值,轴承滚珠破损，振动频谱出现冲击峰值,0.46
轴承磨损异响，运转时出现周期性异音,轴承间隙过大，径向游隙超0.15mm,0.51
电机负载达额定120%时出现过热，绕组温度升至105℃,电机过载停机，故障代码E012，需重启复位,0.97
电机连续运行8小时后出现异响，振动值超额定20%,电机过载停机，故障代码E012，需重启复位,0.56
传感器量程超限，显示值固定为最大值,传感器数值漂移，测量值比实际值高10%,0.88
PLC通讯故障，与变频器的Modbus连接中断,PLC输入输出点I0.2损坏，无信号输入,0.93
变频器过流跳闸，输出电流超额定30%,变频器频率漂移，设定50Hz实际输出45Hz,0.7
液压缸密封件损坏导致漏油，每小时泄漏5ml,液压缸活塞杆变形，伸出时出现偏斜,0.69
液压缸活塞杆变形，伸出时出现偏斜,液压缸压力不足，工作压力仅达额定60%,0.68
变频器参数紊乱，加速时间被异常修改,变频器频率漂移，设定50Hz实际输出45Hz,0.87
传感器无输出信号，接线端子接触不良,传感器数值漂移，测量值比实际值高10%,0.44
PLC信号丢失，传感器反馈数据无更新,PLC断电记忆丢失，参数恢复至出厂默认值,0.57
传感器无输出信号，接线端子接触不良,传感器抗干扰差，受电磁干扰出现跳变,0.56
电机连续运行8小时后出现异响，振动值超额定20%,电机负载达额定120%时出现过热，绕组温度升至105℃,0.86
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机过载停机，故障代码E012，需重启复位,0.52
轴承磨损异响，运转时出现周期性异音,轴承润滑脂干涸，出现干摩擦异响,0.93
变频器过压报警，直流母线电压达800V,变频器过压报警，直流母线电压达800V,0.48
传感器无输出信号，接线端子接触不良,传感器无输出信号，接线端子接触不良,0.58
轴承温升过高，连续运行2小时后温度达80℃,轴承滚珠破损，振动频谱出现冲击峰值,0.63
变频器过流跳闸，输出电流超额定30%,变频器过流跳闸，输出电流超额定30%,0.67
继电器接触不良，信号传输时断时续,继电器吸合不良，线圈电压正常但触点未闭合,0.87
液压缸动作卡顿，换向时出现滞涩现象,变频器过流跳闸，输出电流超额定30%,0.22
PLC信号丢失，传感器反馈数据无更新,PLC程序报错，梯形图逻辑错误导致误动作,0.63
变频器散热风扇故障，散热片温度达75℃,PLC程序报错，梯形图逻辑错误导致误动作,0.25
离心泵流量不足，出口管路堵塞,变频器过流跳闸，输出电流超额定30%,0.08
离心泵密封泄漏，机械密封端面磨损,离心泵轴承发热，温度达75℃,0.59
继电器吸合不良，线圈电压正常但触点未闭合,轴承滚珠破损，振动频谱出现冲击峰值,0.11
电机过载停机，故障代码E012，需重启复位,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.68
继电器线圈烧毁，电阻值无穷大,继电器误动作，无输入信号时触点自行闭合,0.54
离心泵流量不足，出口管路堵塞,离心泵叶轮磨损，流量下降至额定70%,0.6
传感器无输出信号，接线端子接触不良,传感器响应延迟，信号滞后2秒,0.91
电机负载达额定120%时出现过热，绕组温度升至105℃,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.58
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机过载停机，故障代码E012，需重启复位,0.82
继电器触点烧蚀，接触电阻增大至5Ω,继电器线圈烧毁，电阻值无穷大,0.94
继电器线圈烧毁，电阻值无穷大,继电器误动作，无输入信号时触点自行闭合,0.69
变频器过流跳闸，输出电流超额定30%,变频器过流跳闸，输出电流超额定30%,0.67
继电器接触不良，信号传输时断时续,轴承间隙过大，径向游隙超0.15mm,0.04
传感器响应延迟，信号滞后2秒,轴承滚珠破损，振动频谱出现冲击峰值,0.13
液压缸密封件损坏导致漏油，每小时泄漏5ml,液压缸活塞杆变形，伸出时出现偏斜,0.45
变频器散热风扇故障，散热片温度达75℃,变频器频率漂移，设定50Hz实际输出45Hz,0.43
离心泵空转异响，进口阀门未打开导致气蚀,离心泵流量不足，出口管路堵塞,0.64
继电器吸合不良，线圈电压正常但触点未闭合,轴承润滑脂干涸，出现干摩擦异响,0.09
传感器量程超限，显示值固定为最大值,传感器无输出信号，接线端子接触不良,0.56
变频器参数紊乱，加速时间被异常修改,变频器过流跳闸，输出电流超额定30%,0.42
电机过载停机，故障代码E012，需重启复位,传感器无输出信号，接线端子接触不良,0.12
离心泵流量不足，出口管路堵塞,离心泵叶轮磨损，流量下降至额定70%,0.63
PLC输入输出点I0.2损坏，无信号输入,PLC通讯故障，与变频器的Modbus连接中断,0.61
离心泵密封泄漏，机械密封端面磨损,离心泵轴承发热，温度达75℃,0.57
变频器参数紊乱，加速时间被异常修改,离心泵空转异响，进口阀门未打开导致气蚀,0.09
离心泵轴承发热，温度达75℃,PLC通讯故障，与变频器的Modbus连接中断,0.15
变频器过流跳闸，输出电流超额定30%,变频器参数紊乱，加速时间被异常修改,0.6
传感器响应延迟，信号滞后2秒,传感器量程超限，显示值固定为最大值,0.41
液压缸密封件损坏导致漏油，每小时泄漏5ml,液压缸缓冲装置失效，行程末端冲击过大,0.66
液压缸活塞杆变形，伸出时出现偏斜,液压缸密封件损坏导致漏油，每小时泄漏5ml,0.96
传感器无输出信号，接线端子接触不良,轴承温升过高，连续运行2小时后温度达80℃,0.3
轴承温升过高，连续运行2小时后温度达80℃,轴承磨损异响，运转时出现周期性异音,0.96
变频器参数紊乱，加速时间被异常修改,传感器数值漂移，测量值比实际值高10%,0.19
电机过载停机，故障代码E012，需重启复位,电机连续运行8小时后出现异响，振动值超额定20%,0.9
继电器误动作，无输入信号时触点自行闭合,离心泵密封泄漏，机械密封端面磨损,0.0
变频器频率漂移，设定50Hz实际输出45Hz,变频器过流跳闸，输出电流超额定30%,0.6
继电器吸合不良，线圈电压正常但触点未闭合,变频器散热风扇故障，散热片温度达75℃,0.16
电机过载停机，故障代码E012，需重启复位,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.99
PLC断电记忆丢失，参数恢复至出厂默认值,PLC通讯故障，与变频器的Modbus连接中断,0.82
继电器吸合不良，线圈电压正常但触点未闭合,继电器吸合不良，线圈电压正常但触点未闭合,0.45
变频器过流跳闸，输出电流超额定30%,液压缸缓冲装置失效，行程末端冲击过大,0.1
继电器误动作，无输入信号时触点自行闭合,传感器无输出信号，接线端子接触不良,0.01
液压缸缓冲装置失效，行程末端冲击过大,液压缸活塞杆变形，伸出时出现偏斜,0.43
PLC通讯故障，与变频器的Modbus连接中断,PLC断电记忆丢失，参数恢复至出厂默认值,0.68
变频器频率漂移，设定50Hz实际输出45Hz,变频器参数紊乱，加速时间被异常修改,0.49
变频器散热风扇故障，散热片温度达75℃,变频器散热风扇故障，散热片温度达75℃,0.53
轴承磨损异响，运转时出现周期性异音,液压缸活塞杆变形，伸出时出现偏斜,0.05
PLC断电记忆丢失，参数恢复至出厂默认值,继电器线圈烧毁，电阻值无穷大,0.17
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.98
继电器吸合不良，线圈电压正常但触点未闭合,继电器线圈烧毁，电阻值无穷大,0.41
PLC输入输出点I0.2损坏，无信号输入,PLC通讯故障，与变频器的Modbus连接中断,0.87
传感器响应延迟，信号滞后2秒,PLC信号丢失，传感器反馈数据无更新,0.02
PLC程序报错，梯形图逻辑错误导致误动作,PLC输入输出点I0.2损坏，无信号输入,0.48
变频器频率漂移，设定50Hz实际输出45Hz,变频器过压报警，直流母线电压达800V,0.9
继电器触点烧蚀，接触电阻增大至5Ω,继电器接触不良，信号传输时断时续,0.87
继电器线圈烧毁，电阻值无穷大,继电器吸合不良，线圈电压正常但触点未闭合,1.0
液压缸压力不足，工作压力仅达额定60%,液压缸缓冲装置失效，行程末端冲击过大,0.66
变频器频率漂移，设定50Hz实际输出45Hz,变频器参数紊乱，加速时间被异常修改,0.45
液压缸缓冲装置失效，行程末端冲击过大,液压缸活塞杆变形，伸出时出现偏斜,0.83
传感器抗干扰差，受电磁干扰出现跳变,传感器无输出信号，接线端子接触不良,0.53
传感器抗干扰差，受电磁干扰出现跳变,传感器数值漂移，测量值比实际值高10%,0.59
电机连续运行8小时后出现异响，振动值超额定20%,电机连续运行8小时后出现异响，振动值超额定20%,0.43
PLC程序报错，梯形图逻辑错误导致误动作,PLC程序报错，梯形图逻辑错误导致误动作,0.62
传感器数值漂移，测量值比实际值高10%,传感器响应延迟，信号滞后2秒,0.96
液压缸压力不足，工作压力仅达额定60%,液压缸缓冲装置失效，行程末端冲击过大,0.43
PLC断电记忆丢失，参数恢复至出厂默认值,PLC通讯故障，与变频器的Modbus连接中断,0.55
继电器误动作，无输入信号时触点自行闭合,继电器吸合不良，线圈电压正常但触点未闭合,0.97
轴承滚珠破损，振动频谱出现冲击峰值,变频器过流跳闸，输出电流超额定30%,0.11
PLC输入输出点I0.2损坏，无信号输入,PLC信号丢失，传感器反馈数据无更新,0.62
液压缸活塞杆变形，伸出时出现偏斜,液压缸密封件损坏导致漏油，每小时泄漏5ml,0.56
轴承间隙过大，径向游隙超0.15mm,变频器散热风扇故障，散热片温度达75℃,0.13
轴承温升过高，连续运行2小时后温度达80℃,轴承间隙过大，径向游隙超0.15mm,0.59
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机过载停机，故障代码E012，需重启复位,0.94
变频器散热风扇故障，散热片温度达75℃,变频器过流跳闸，输出电流超额定30%,0.45
传感器抗干扰差，受电磁干扰出现跳变,传感器数值漂移，测量值比实际值高10%,0.67
离心泵空转异响，进口阀门未打开导致气蚀,液压缸压力不足，工作压力仅达额定60%,0.08
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机负载达额定120%时出现过热，绕组温度升至105℃,0.42
电机负载达额定120%时出现过热，绕组温度升至105℃,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.49
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.69
电机负载达额定120%时出现过热，绕组温度升至105℃,轴承间隙过大，径向游隙超0.15mm,0.12
离心泵流量不足，出口管路堵塞,离心泵轴承发热，温度达75℃,0.57
传感器无输出信号，接线端子接触不良,传感器数值漂移，测量值比实际值高10%,0.61
PLC通讯故障，与变频器的Modbus连接中断,PLC程序报错，梯形图逻辑错误导致误动作,0.44
离心泵轴承发热，温度达75℃,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.24
PLC输入输出点I0.2损坏，无信号输入,PLC信号丢失，传感器反馈数据无更新,0.58
离心泵空转异响，进口阀门未打开导致气蚀,离心泵流量不足，出口管路堵塞,0.94
PLC程序报错，梯形图逻辑错误导致误动作,PLC断电记忆丢失，参数恢复至出厂默认值,0.87
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,电机连续运行8小时后出现异响，振动值超额定20%,0.42
变频器散热风扇故障，散热片温度达75℃,变频器过压报警，直流母线电压达800V,0.41
轴承磨损异响，运转时出现周期性异音,轴承润滑脂干涸，出现干摩擦异响,0.45
电机负载达额定120%时出现过热，绕组温度升至105℃,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.69
轴承磨损异响，运转时出现周期性异音,轴承滚珠破损，振动频谱出现冲击峰值,0.51
离心泵流量不足，出口管路堵塞,继电器触点烧蚀，接触电阻增大至5Ω,0.03
继电器吸合不良，线圈电压正常但触点未闭合,继电器误动作，无输入信号时触点自行闭合,0.67
继电器线圈烧毁，电阻值无穷大,继电器吸合不良，线圈电压正常但触点未闭合,0.51
PLC信号丢失，传感器反馈数据无更新,PLC信号丢失，传感器反馈数据无更新,0.67
传感器量程超限，显示值固定为最大值,传感器无输出信号，接线端子接触不良,0.87
液压缸缓冲装置失效，行程末端冲击过大,电机负载达额定120%时出现过热，绕组温度升至105℃,0.02
轴承磨损异响，运转时出现周期性异音,轴承间隙过大，径向游隙超0.15mm,0.45
轴承润滑脂干涸，出现干摩擦异响,轴承间隙过大，径向游隙超0.15mm,0.61
PLC信号丢失，传感器反馈数据无更新,PLC信号丢失，传感器反馈数据无更新,0.64
轴承温升过高，连续运行2小时后温度达80℃,轴承滚珠破损，振动频谱出现冲击峰值,0.51
PLC程序报错，梯形图逻辑错误导致误动作,变频器散热风扇故障，散热片温度达75℃,0.19
继电器线圈烧毁，电阻值无穷大,离心泵轴承发热，温度达75℃,0.07
继电器吸合不良，线圈电压正常但触点未闭合,继电器触点烧蚀，接触电阻增大至5Ω,0.46
液压缸动作卡顿，换向时出现滞涩现象,电机负载达额定120%时出现过热，绕组温度升至105℃,0.29
变频器过压报警，直流母线电压达800V,变频器过压报警，直流母线电压达800V,0.46
变频器频率漂移，设定50Hz实际输出45Hz,变频器频率漂移，设定50Hz实际输出45Hz,0.46
液压缸动作卡顿，换向时出现滞涩现象,液压缸活塞杆变形，伸出时出现偏斜,0.41
变频器散热风扇故障，散热片温度达75℃,变频器频率漂移，设定50Hz实际输出45Hz,0.45
传感器量程超限，显示值固定为最大值,传感器数值漂移，测量值比实际值高10%,0.4
变频器频率漂移，设定50Hz实际输出45Hz,变频器过流跳闸，输出电流超额定30%,0.83
PLC通讯故障，与变频器的Modbus连接中断,PLC信号丢失，传感器反馈数据无更新,0.66
液压缸密封件损坏导致漏油，每小时泄漏5ml,液压缸缓冲装置失效，行程末端冲击过大,0.91
液压缸压力不足，工作压力仅达额定60%,液压缸活塞杆变形，伸出时出现偏斜,0.56
轴承间隙过大，径向游隙超0.15mm,轴承间隙过大，径向游隙超0.15mm,0.57
轴承温升过高，连续运行2小时后温度达80℃,轴承润滑脂干涸，出现干摩擦异响,0.47
变频器参数紊乱，加速时间被异常修改,变频器参数紊乱，加速时间被异常修改,0.69
变频器参数紊乱，加速时间被异常修改,变频器过流跳闸，输出电流超额定30%,0.8
液压缸缓冲装置失效，行程末端冲击过大,变频器过压报警，直流母线电压达800V,0.28
传感器无输出信号，接线端子接触不良,传感器量程超限，显示值固定为最大值,0.5
液压缸压力不足，工作压力仅达额定60%,液压缸缓冲装置失效，行程末端冲击过大,0.86
电机负载达额定120%时出现过热，绕组温度升至105℃,电机负载达额定120%时出现过热，绕组温度升至105℃,0.58
变频器频率漂移，设定50Hz实际输出45Hz,变频器参数紊乱，加速时间被异常修改,0.99
离心泵密封泄漏，机械密封端面磨损,离心泵空转异响，进口阀门未打开导致气蚀,0.43
PLC输入输出点I0.2损坏，无信号输入,PLC输入输出点I0.2损坏，无信号输入,0.53
液压缸压力不足，工作压力仅达额定60%,液压缸动作卡顿，换向时出现滞涩现象,0.64
轴承温升过高，连续运行2小时后温度达80℃,轴承滚珠破损，振动频谱出现冲击峰值,0.89
传感器数值漂移，测量值比实际值高10%,PLC断电记忆丢失，参数恢复至出厂默认值,0.04
液压缸活塞杆变形，伸出时出现偏斜,变频器过压报警，直流母线电压达800V,0.17
电机负载达额定120%时出现过热，绕组温度升至105℃,电机连续运行8小时后出现异响，振动值超额定20%,0.66
轴承温升过高，连续运行2小时后温度达80℃,轴承温升过高，连续运行2小时后温度达80℃,0.44
轴承滚珠破损，振动频谱出现冲击峰值,轴承间隙过大，径向游隙超0.15mm,0.55
电机连续运行8小时后出现异响，振动值超额定20%,电机连续运行8小时后出现异响，振动值超额定20%,0.63
传感器数值漂移，测量值比实际值高10%,PLC断电记忆丢失，参数恢复至出厂默认值,0.12
变频器散热风扇故障，散热片温度达75℃,变频器参数紊乱，加速时间被异常修改,0.62
PLC断电记忆丢失，参数恢复至出厂默认值,PLC输入输出点I0.2损坏，无信号输入,0.88
液压缸压力不足，工作压力仅达额定60%,液压缸动作卡顿，换向时出现滞涩现象,0.89
继电器误动作，无输入信号时触点自行闭合,电机连续运行8小时后出现异响，振动值超额定20%,0.28
离心泵叶轮磨损，流量下降至额定70%,离心泵空转异响，进口阀门未打开导致气蚀,0.82
离心泵叶轮磨损，流量下降至额定70%,离心泵密封泄漏，机械密封端面磨损,0.7
离心泵轴承发热，温度达75℃,离心泵空转异响，进口阀门未打开导致气蚀,0.95
PLC通讯故障，与变频器的Modbus连接中断,PLC信号丢失，传感器反馈数据无更新,0.57
传感器量程超限，显示值固定为最大值,传感器无输出信号，接线端子接触不良,0.57
轴承润滑脂干涸，出现干摩擦异响,继电器接触不良，信号传输时断时续,0.01
PLC断电记忆丢失，参数恢复至出厂默认值,PLC信号丢失，传感器反馈数据无更新,0.49
变频器散热风扇故障，散热片温度达75℃,变频器过压报警，直流母线电压达800V,0.5
继电器接触不良，信号传输时断时续,继电器吸合不良，线圈电压正常但触点未闭合,0.68
继电器误动作，无输入信号时触点自行闭合,继电器误动作，无输入信号时触点自行闭合,0.51
液压缸压力不足，工作压力仅达额定60%,液压缸缓冲装置失效，行程末端冲击过大,0.85
液压缸活塞杆变形，伸出时出现偏斜,液压缸密封件损坏导致漏油，每小时泄漏5ml,0.43
电机连续运行8小时后出现异响，振动值超额定20%,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.98
轴承润滑脂干涸，出现干摩擦异响,轴承滚珠破损，振动频谱出现冲击峰值,0.48
液压缸活塞杆变形，伸出时出现偏斜,液压缸缓冲装置失效，行程末端冲击过大,0.59
变频器频率漂移，设定50Hz实际输出45Hz,离心泵密封泄漏，机械密封端面磨损,0.19
液压缸缓冲装置失效，行程末端冲击过大,变频器参数紊乱，加速时间被异常修改,0.14
传感器数值漂移，测量值比实际值高10%,传感器无输出信号，接线端子接触不良,0.58
轴承间隙过大，径向游隙超0.15mm,液压缸密封件损坏导致漏油，每小时泄漏5ml,0.0
变频器参数紊乱，加速时间被异常修改,变频器过压报警，直流母线电压达800V,0.44
离心泵密封泄漏，机械密封端面磨损,离心泵流量不足，出口管路堵塞,0.46
液压缸缓冲装置失效，行程末端冲击过大,液压缸动作卡顿，换向时出现滞涩现象,0.62
传感器无输出信号，接线端子接触不良,传感器抗干扰差，受电磁干扰出现跳变,0.86
轴承温升过高，连续运行2小时后温度达80℃,变频器过压报警，直流母线电压达800V,0.16
PLC断电记忆丢失，参数恢复至出厂默认值,轴承磨损异响，运转时出现周期性异音,0.12
PLC信号丢失，传感器反馈数据无更新,PLC输入输出点I0.2损坏，无信号输入,0.86
轴承润滑脂干涸，出现干摩擦异响,轴承滚珠破损，振动频谱出现冲击峰值,0.44
离心泵空转异响，进口阀门未打开导致气蚀,离心泵轴承发热，温度达75℃,0.99
变频器过流跳闸，输出电流超额定30%,变频器参数紊乱，加速时间被异常修改,0.59
传感器无输出信号，接线端子接触不良,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.15
轴承滚珠破损，振动频谱出现冲击峰值,轴承磨损异响，运转时出现周期性异音,0.59
轴承磨损异响，运转时出现周期性异音,轴承间隙过大，径向游隙超0.15mm,0.64
传感器响应延迟，信号滞后2秒,轴承润滑脂干涸，出现干摩擦异响,0.14
变频器参数紊乱，加速时间被异常修改,变频器参数紊乱，加速时间被异常修改,0.53
电机负载达额定120%时出现过热，绕组温度升至105℃,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.65
液压缸活塞杆变形，伸出时出现偏斜,液压缸动作卡顿，换向时出现滞涩现象,0.63
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机过载停机，故障代码E012，需重启复位,0.45
继电器触点烧蚀，接触电阻增大至5Ω,PLC输入输出点I0.2损坏，无信号输入,0.2
液压缸缓冲装置失效，行程末端冲击过大,液压缸活塞杆变形，伸出时出现偏斜,0.91
电机轴承润滑不足导致转速异常，输出转速波动±5%,PLC信号丢失，传感器反馈数据无更新,0.04
电机连续运行8小时后出现异响，振动值超额定20%,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.83
传感器抗干扰差，受电磁干扰出现跳变,传感器量程超限，显示值固定为最大值,0.69
继电器吸合不良，线圈电压正常但触点未闭合,变频器过压报警，直流母线电压达800V,0.28
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.97
继电器线圈烧毁，电阻值无穷大,继电器误动作，无输入信号时触点自行闭合,0.45
液压缸缓冲装置失效，行程末端冲击过大,液压缸压力不足，工作压力仅达额定60%,0.83
液压缸动作卡顿，换向时出现滞涩现象,电机负载达额定120%时出现过热，绕组温度升至105℃,0.23
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.53
变频器频率漂移，设定50Hz实际输出45Hz,变频器过压报警，直流母线电压达800V,0.85
变频器散热风扇故障，散热片温度达75℃,变频器过流跳闸，输出电流超额定30%,0.84
离心泵叶轮磨损，流量下降至额定70%,离心泵流量不足，出口管路堵塞,0.54
变频器散热风扇故障，散热片温度达75℃,变频器参数紊乱，加速时间被异常修改,0.48
PLC信号丢失，传感器反馈数据无更新,PLC通讯故障，与变频器的Modbus连接中断,0.48
离心泵密封泄漏，机械密封端面磨损,变频器频率漂移，设定50Hz实际输出45Hz,0.13
继电器接触不良，信号传输时断时续,继电器线圈烧毁，电阻值无穷大,0.51
变频器散热风扇故障，散热片温度达75℃,变频器过压报警，直流母线电压达800V,0.58
液压缸压力不足，工作压力仅达额定60%,液压缸密封件损坏导致漏油，每小时泄漏5ml,0.49
离心泵流量不足，出口管路堵塞,离心泵轴承发热，温度达75℃,0.83
轴承磨损异响，运转时出现周期性异音,轴承温升过高，连续运行2小时后温度达80℃,0.52
离心泵叶轮磨损，流量下降至额定70%,离心泵密封泄漏，机械密封端面磨损,0.55
继电器线圈烧毁，电阻值无穷大,继电器误动作，无输入信号时触点自行闭合,0.48
变频器散热风扇故障，散热片温度达75℃,变频器过流跳闸，输出电流超额定30%,0.59
变频器过压报警，直流母线电压达800V,变频器过流跳闸，输出电流超额定30%,0.41
离心泵轴承发热，温度达75℃,离心泵空转异响，进口阀门未打开导致气蚀,0.57
离心泵叶轮磨损，流量下降至额定70%,离心泵密封泄漏，机械密封端面磨损,0.64
离心泵流量不足，出口管路堵塞,离心泵轴承发热，温度达75℃,0.48
PLC通讯故障，与变频器的Modbus连接中断,PLC信号丢失，传感器反馈数据无更新,0.48
轴承间隙过大，径向游隙超0.15mm,轴承润滑脂干涸，出现干摩擦异响,0.67
液压缸密封件损坏导致漏油，每小时泄漏5ml,液压缸动作卡顿，换向时出现滞涩现象,0.68
PLC信号丢失，传感器反馈数据无更新,PLC信号丢失，传感器反馈数据无更新,0.53
电机连续运行8小时后出现异响，振动值超额定20%,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.62
离心泵空转异响，进口阀门未打开导致气蚀,离心泵轴承发热，温度达75℃,0.7
离心泵空转异响，进口阀门未打开导致气蚀,离心泵密封泄漏，机械密封端面磨损,0.6
传感器抗干扰差，受电磁干扰出现跳变,传感器无输出信号，接线端子接触不良,0.85
PLC信号丢失，传感器反馈数据无更新,PLC断电记忆丢失，参数恢复至出厂默认值,0.4
PLC程序报错，梯形图逻辑错误导致误动作,PLC断电记忆丢失，参数恢复至出厂默认值,0.98
传感器无输出信号，接线端子接触不良,PLC输入输出点I0.2损坏，无信号输入,0.28
轴承间隙过大，径向游隙超0.15mm,轴承磨损异响，运转时出现周期性异音,0.66
变频器过流跳闸，输出电流超额定30%,PLC通讯故障，与变频器的Modbus连接中断,0.15
继电器触点烧蚀，接触电阻增大至5Ω,液压缸压力不足，工作压力仅达额定60%,0.08
轴承滚珠破损，振动频谱出现冲击峰值,轴承滚珠破损，振动频谱出现冲击峰值,0.66
液压缸压力不足，工作压力仅达额定60%,液压缸缓冲装置失效，行程末端冲击过大,0.82
继电器接触不良，信号传输时断时续,继电器吸合不良，线圈电压正常但触点未闭合,0.59
PLC输入输出点I0.2损坏，无信号输入,PLC程序报错，梯形图逻辑错误导致误动作,0.92
轴承滚珠破损，振动频谱出现冲击峰值,轴承温升过高，连续运行2小时后温度达80℃,0.48
变频器参数紊乱，加速时间被异常修改,变频器过流跳闸，输出电流超额定30%,0.56
轴承滚珠破损，振动频谱出现冲击峰值,PLC程序报错，梯形图逻辑错误导致误动作,0.21
传感器抗干扰差，受电磁干扰出现跳变,传感器抗干扰差，受电磁干扰出现跳变,0.61
变频器频率漂移，设定50Hz实际输出45Hz,变频器散热风扇故障，散热片温度达75℃,0.83
液压缸活塞杆变形，伸出时出现偏斜,液压缸缓冲装置失效，行程末端冲击过大,0.54
电机轴承润滑不足导致转速异常，输出转速波动±5%,PLC断电记忆丢失，参数恢复至出厂默认值,0.1
轴承磨损异响，运转时出现周期性异音,轴承间隙过大，径向游隙超0.15mm,0.83
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机连续运行8小时后出现异响，振动值超额定20%,0.95
传感器响应延迟，信号滞后2秒,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.04
电机负载达额定120%时出现过热，绕组温度升至105℃,电机连续运行8小时后出现异响，振动值超额定20%,0.86
液压缸压力不足，工作压力仅达额定60%,液压缸密封件损坏导致漏油，每小时泄漏5ml,0.82
离心泵空转异响，进口阀门未打开导致气蚀,离心泵密封泄漏，机械密封端面磨损,0.53
传感器响应延迟，信号滞后2秒,继电器误动作，无输入信号时触点自行闭合,0.29
传感器数值漂移，测量值比实际值高10%,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.2
离心泵叶轮磨损，流量下降至额定70%,离心泵流量不足，出口管路堵塞,0.87
离心泵流量不足，出口管路堵塞,离心泵空转异响，进口阀门未打开导致气蚀,0.47
变频器参数紊乱，加速时间被异常修改,离心泵密封泄漏，机械密封端面磨损,0.08
PLC程序报错，梯形图逻辑错误导致误动作,PLC通讯故障，与变频器的Modbus连接中断,0.8
轴承磨损异响，运转时出现周期性异音,轴承润滑脂干涸，出现干摩擦异响,0.85
轴承磨损异响，运转时出现周期性异音,轴承润滑脂干涸，出现干摩擦异响,0.69
继电器线圈烧毁，电阻值无穷大,PLC信号丢失，传感器反馈数据无更新,0.24
液压缸密封件损坏导致漏油，每小时泄漏5ml,液压缸压力不足，工作压力仅达额定60%,0.84
液压缸活塞杆变形，伸出时出现偏斜,液压缸密封件损坏导致漏油，每小时泄漏5ml,0.97
继电器误动作，无输入信号时触点自行闭合,继电器线圈烧毁，电阻值无穷大,0.88
电机连续运行8小时后出现异响，振动值超额定20%,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.9
PLC断电记忆丢失，参数恢复至出厂默认值,PLC信号丢失，传感器反馈数据无更新,0.89
电机负载达额定120%时出现过热，绕组温度升至105℃,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.62
传感器数值漂移，测量值比实际值高10%,变频器频率漂移，设定50Hz实际输出45Hz,0.25
PLC程序报错，梯形图逻辑错误导致误动作,PLC输入输出点I0.2损坏，无信号输入,0.47
电机过载停机，故障代码E012，需重启复位,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.42
