fault_text1_clean,fault_text2_clean,semantic_similarity,data_source
继电器吸合不良 线圈电压正常但触点未闭合,在启动时继电器吸合不良 线圈电压正常但触点未闭合,0.96,generated
继电器误动作 无输入信号时触点自行闭合,继电器触点烧蚀 接触电阻增大至5Ω,0.87,original
变频器参数紊乱 加速时间被异常修改,变频器过压报警 直流母线电压达800V,0.52,original
传感器抗干扰差 受电磁干扰出现跳变,变频器参数紊乱 加速时间被异常修改,0.87,generated
轴承磨损异响 运转时出现周期性异音,轴承磨损异响 突发性运转时出现周期性异音,0.86,generated
传感器抗干扰差 受电磁干扰出现跳变,传感器无输出信号 接线端子接触不良,0.9,original
离心泵轴承发热 温度达75,突发性离心泵轴承发热 温度达75,0.78,generated
电机过载停机 故障代码E012 需重启复位,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.81,original
继电器吸合不良 线圈电压正常但触点未闭合,继电器吸合不良 线圈电压正常但触点未闭合,0.45,original
PLC程序报错 梯形图逻辑错误导致误动作,PLC程序报错 偶尔梯形图逻辑错误导致误动作,0.9,generated
继电器误动作 无输入信号时触点自行闭合,继电器触点烧蚀 接触电阻增大至5Ω,0.42,original
轴承磨损异响 运转时出现周期性异音,传感器数值漂移 测量值比实际值高10,0.03,original
离心泵叶轮磨损 流量下降至额定70,离心泵密封泄漏 机械密封端面磨损,0.44,original
电机轴承润滑不足导致转速异常 输出转速波动 5,电机负载达额定120 时出现过热 绕组温度升至105,0.5,original
PLC断电记忆丢失 参数恢复至出厂默认值,在停机时PLC断电记忆丢失 参数恢复至出厂默认值,0.88,generated
变频器参数紊乱 加速时间被异常修改,变频器过压报警 直流母线电压达800V,0.53,original
继电器误动作 无输入信号时触点自行闭合,继电器误动作 无输入信号时触点自行闭合,0.61,original
PLC通讯故障 与变频器的Modbus连接中断,液压缸缓冲装置失效 行程末端冲击过大,0.01,original
变频器散热风扇故障 散热片温度达75,变频器过流跳闸 输出电流超额定30,0.84,original
电机轴承润滑不足导致转速异常 输出转速波动 5,变频器过流跳闸 输出电流超额定30,0.19,original
PLC信号丢失 传感器反馈数据无更新,PLC通讯故障 与变频器的Modbus连接中断,0.57,original
离心泵密封泄漏 机械密封端面磨损,离心泵叶轮磨损 流量下降至额定70,0.83,original
变频器参数紊乱 加速时间被异常修改,湿度增大后变频器参数紊乱 加速时间被异常修改,0.8,generated
变频器参数紊乱 加速时间被异常修改,变频器频率漂移 设定50Hz实际输出45Hz,0.41,original
传感器响应延迟 信号滞后2秒,传感器无输出信号 接线端子接触不良,0.36,generated
变频器散热风扇故障 散热片温度达75,变频器频率漂移 设定50Hz实际输出45Hz,0.93,original
轴承润滑脂干涸 出现干摩擦异响,轴承润滑脂干涸 出现干摩擦异响,0.84,generated
变频器过流跳闸 输出电流超额定30,变频器过流跳闸 输出电流超额定30,0.46,original
离心泵空转异响 进口阀门未打开导致气蚀,离心泵叶轮磨损 流量下降至额定70,0.48,original
PLC程序报错 梯形图逻辑错误导致误动作,PLC断电记忆丢失 参数恢复至出厂默认值,0.93,original
液压缸活塞杆变形 伸出时出现偏斜,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.97,original
电机连续运行8小时后出现异响 振动值超额定20,电机负载达额定120 时出现过热 绕组温度升至105,0.54,original
变频器频率漂移 设定50Hz实际输出45Hz,在负载增加时变频器频率漂移 设定50Hz实际输出45Hz,0.97,generated
变频器过压报警 直流母线电压达800V,电机轴承润滑不足导致转速异常 输出转速波动 5,0.25,original
PLC信号丢失 传感器反馈数据无更新,PLC程序报错 梯形图逻辑错误导致误动作,0.54,original
传感器量程超限 显示值固定为最大值,离心泵密封泄漏 机械密封端面磨损,0.05,generated
电机轴承润滑不足导致转速异常 输出转速波动 5,电机连续运行8小时后出现异响 振动值超额定20,0.51,original
继电器触点烧蚀 接触电阻增大至5Ω,继电器接触不良 信号传输时断时续,0.87,original
PLC断电记忆丢失 参数恢复至出厂默认值,PLC程序报错 梯形图逻辑错误导致误动作,0.82,original
离心泵轴承发热 温度达75,轴承滚珠破损 振动频谱出现冲击峰值,0.21,original
传感器数值漂移 测量值比实际值高10,传感器数值漂移 突发性测量值比实际值高10,0.99,generated
变频器参数紊乱 加速时间被异常修改,变频器过压报警 直流母线电压达800V,0.67,original
离心泵空转异响 进口阀门未打开导致气蚀,离心泵空转异响 进口阀门未打开导致气蚀,0.93,generated
继电器吸合不良 线圈电压正常但触点未闭合,液压缸活塞杆变形 伸出时出现偏斜,0.72,generated
PLC输入输出点I0 2损坏 无信号输入,在启动时PLC输入输出点I0 2损坏 无信号输入,0.97,generated
继电器线圈烧毁 电阻值无穷大,继电器误动作 无输入信号时触点自行闭合,0.45,original
传感器无输出信号 接线端子接触不良,离心泵叶轮磨损 流量下降至额定70,0.02,generated
轴承滚珠破损 振动频谱出现冲击峰值,轴承间隙过大 径向游隙超0 15mm,0.89,original
电机轴承润滑不足导致转速异常 输出转速波动 5,电机负载达额定120 时出现过热 绕组温度升至105,0.67,original
液压缸活塞杆变形 伸出时出现偏斜,液压缸动作卡顿 换向时出现滞涩现象,0.49,original
继电器线圈烧毁 电阻值无穷大,电机过载停机 故障代码E012 需重启复位,0.28,original
轴承滚珠破损 振动频谱出现冲击峰值,液压缸缓冲装置失效 行程末端冲击过大,0.51,generated
液压缸动作卡顿 换向时出现滞涩现象,液压缸动作卡顿 换向时出现滞涩现象,0.41,original
变频器过流跳闸 输出电流超额定30,变频器参数紊乱 加速时间被异常修改,0.45,original
变频器频率漂移 设定50Hz实际输出45Hz,液压缸压力不足 工作压力仅达额定60,0.29,original
液压缸活塞杆变形 伸出时出现偏斜,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.97,original
PLC程序报错 梯形图逻辑错误导致误动作,PLC通讯故障 与变频器的Modbus连接中断,0.5,original
液压缸缓冲装置失效 行程末端冲击过大,液压缸压力不足 工作压力仅达额定60,0.93,original
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,电机连续运行8小时后出现异响 振动值超额定20,0.5,original
变频器过压报警 直流母线电压达800V,变频器频率漂移 设定50Hz实际输出45Hz,0.57,original
PLC通讯故障 与变频器的Modbus连接中断,PLC信号丢失 传感器反馈数据无更新,0.44,original
变频器过压报警 直流母线电压达800V,PLC通讯故障 与变频器的Modbus连接中断,0.48,generated
变频器频率漂移 设定50Hz实际输出45Hz,变频器参数紊乱 加速时间被异常修改,0.49,original
变频器过压报警 直流母线电压达800V,电机负载达额定120 时出现过热 绕组温度升至105,0.66,generated
离心泵密封泄漏 机械密封端面磨损,离心泵密封泄漏 机械密封端面磨损,0.4,original
电机连续运行8小时后出现异响 振动值超额定20,电机负载达额定120 时出现过热 绕组温度升至105,0.47,original
轴承磨损异响 运转时出现周期性异音,轴承温升过高 连续运行2小时后温度达80,0.88,original
离心泵密封泄漏 机械密封端面磨损,离心泵流量不足 出口管路堵塞,0.87,original
继电器误动作 无输入信号时触点自行闭合,继电器触点烧蚀 接触电阻增大至5Ω,0.59,original
PLC断电记忆丢失 参数恢复至出厂默认值,PLC断电记忆丢失 间歇性参数恢复至出厂默认值,0.92,generated
变频器过压报警 直流母线电压达800V,变频器过流跳闸 输出电流超额定30,0.54,original
离心泵轴承发热 温度达75,离心泵密封泄漏 机械密封端面磨损,0.51,original
电机负载达额定120 时出现过热 绕组温度升至105,电机负载达额定120 时出现过热 间歇性绕组温度升至105,0.71,generated
PLC信号丢失 传感器反馈数据无更新,轻微PLC信号丢失 传感器反馈数据无更新,0.77,generated
轴承润滑脂干涸 出现干摩擦异响,轴承间隙过大 径向游隙超0 15mm,0.47,original
变频器过流跳闸 输出电流超额定30,液压缸活塞杆变形 伸出时出现偏斜,0.59,generated
离心泵轴承发热 温度达75,离心泵轴承发热 温度达75,0.49,original
离心泵流量不足 出口管路堵塞,在负载增加时离心泵流量不足 出口管路堵塞,0.92,generated
继电器误动作 无输入信号时触点自行闭合,继电器误动作 无输入信号时触点自行闭合,0.65,original
电机连续运行8小时后出现异响 振动值超额定20,电机过载停机 故障代码E012 需重启复位,1.0,original
电机过载停机 故障代码E012 需重启复位,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.6,original
变频器过压报警 直流母线电压达800V,变频器过压报警 直流母线电压达800V,0.84,generated
离心泵密封泄漏 机械密封端面磨损,轴承滚珠破损 振动频谱出现冲击峰值,0.13,generated
继电器触点烧蚀 接触电阻增大至5Ω,液压缸活塞杆变形 伸出时出现偏斜,0.14,generated
离心泵叶轮磨损 流量下降至额定70,离心泵叶轮磨损 在负载增加时流量下降至额定70,0.85,generated
离心泵叶轮磨损 流量下降至额定70,继电器接触不良 信号传输时断时续,0.12,original
PLC输入输出点I0 2损坏 无信号输入,PLC通讯故障 与变频器的Modbus连接中断,0.7,original
传感器无输出信号 接线端子接触不良,传感器数值漂移 测量值比实际值高10,0.44,original
轴承滚珠破损 振动频谱出现冲击峰值,轴承润滑脂干涸 出现干摩擦异响,0.95,original
PLC输入输出点I0 2损坏 无信号输入,轴承磨损异响 运转时出现周期性异音,0.67,generated
液压缸活塞杆变形 伸出时出现偏斜,液压缸活塞杆变形 伸出时出现偏斜,0.65,original
轴承滚珠破损 振动频谱出现冲击峰值,轴承润滑脂干涸 出现干摩擦异响,0.89,original
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,电机轴承润滑不足导致转速异常 输出转速波动 5,0.97,original
电机负载达额定120 时出现过热 绕组温度升至105,轴承间隙过大 径向游隙超0 15mm,0.52,generated
继电器接触不良 信号传输时断时续,继电器吸合不良 线圈电压正常但触点未闭合,1.0,original
传感器抗干扰差 受电磁干扰出现跳变,传感器无输出信号 接线端子接触不良,0.45,original
PLC断电记忆丢失 参数恢复至出厂默认值,PLC通讯故障 与变频器的Modbus连接中断,0.61,original
液压缸密封件损坏导致漏油 每小时泄漏5ml,PLC通讯故障 与变频器的Modbus连接中断,0.27,original
传感器无输出信号 接线端子接触不良,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.87,generated
轴承滚珠破损 振动频谱出现冲击峰值,轴承磨损异响 运转时出现周期性异音,0.52,original
PLC程序报错 梯形图逻辑错误导致误动作,PLC程序报错 梯形图逻辑错误导致误动作,0.66,original
电机轴承润滑不足导致转速异常 输出转速波动 5,电机轴承润滑不足导致转速异常 输出转速波动 5,0.68,generated
离心泵流量不足 出口管路堵塞,离心泵轴承发热 温度达75,0.97,original
继电器误动作 无输入信号时触点自行闭合,传感器响应延迟 信号滞后2秒,0.24,original
PLC通讯故障 与变频器的Modbus连接中断,PLC通讯故障 电流不稳时与变频器的Modbus连接中断,0.8,generated
PLC断电记忆丢失 参数恢复至出厂默认值,PLC输入输出点I0 2损坏 无信号输入,0.51,original
传感器无输出信号 接线端子接触不良,PLC程序报错 梯形图逻辑错误导致误动作,0.78,generated
传感器抗干扰差 受电磁干扰出现跳变,传感器响应延迟 信号滞后2秒,0.95,original
离心泵轴承发热 温度达75,离心泵密封泄漏 机械密封端面磨损,0.88,original
离心泵流量不足 出口管路堵塞,离心泵轴承发热 温度达75,0.48,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器过流跳闸 输出电流超额定30,0.61,original
离心泵空转异响 进口阀门未打开导致气蚀,离心泵密封泄漏 机械密封端面磨损,0.62,original
液压缸密封件损坏导致漏油 每小时泄漏5ml,液压缸缓冲装置失效 行程末端冲击过大,0.52,original
继电器误动作 无输入信号时触点自行闭合,继电器误动作 无输入信号时触点自行闭合,0.5,original
离心泵密封泄漏 机械密封端面磨损,离心泵密封泄漏 轻微机械密封端面磨损,0.92,generated
轴承间隙过大 径向游隙超0 15mm,轴承滚珠破损 振动频谱出现冲击峰值,0.55,original
传感器数值漂移 测量值比实际值高10,传感器量程超限 显示值固定为最大值,0.63,original
离心泵流量不足 出口管路堵塞,离心泵轴承发热 温度达75,0.96,original
离心泵流量不足 出口管路堵塞,离心泵空转异响 进口阀门未打开导致气蚀,0.55,original
继电器线圈烧毁 电阻值无穷大,继电器触点烧蚀 接触电阻增大至5Ω,0.86,original
液压缸动作卡顿 换向时出现滞涩现象,离心泵空转异响 进口阀门未打开导致气蚀,0.25,generated
轴承温升过高 连续运行2小时后温度达80,轴承温升过高 连续运行2小时后温度达80,0.44,original
PLC程序报错 梯形图逻辑错误导致误动作,变频器频率漂移 设定50Hz实际输出45Hz,0.14,original
轴承磨损异响 运转时出现周期性异音,继电器线圈烧毁 电阻值无穷大,0.25,original
液压缸缓冲装置失效 行程末端冲击过大,液压缸缓冲装置失效 行程末端冲击过大,0.63,original
继电器吸合不良 线圈电压正常但触点未闭合,继电器误动作 无输入信号时触点自行闭合,0.86,original
液压缸缓冲装置失效 行程末端冲击过大,离心泵空转异响 进口阀门未打开导致气蚀,0.22,original
传感器数值漂移 测量值比实际值高10,传感器数值漂移 测量值比实际值高10,0.77,generated
继电器触点烧蚀 接触电阻增大至5Ω,继电器吸合不良 线圈电压正常但触点未闭合,0.47,original
轴承温升过高 连续运行2小时后温度达80,继电器线圈烧毁 电阻值无穷大,0.03,original
PLC断电记忆丢失 参数恢复至出厂默认值,传感器无输出信号 接线端子接触不良,0.39,generated
液压缸缓冲装置失效 行程末端冲击过大,液压缸动作卡顿 换向时出现滞涩现象,0.42,original
传感器数值漂移 测量值比实际值高10,传感器响应延迟 信号滞后2秒,0.53,original
PLC信号丢失 传感器反馈数据无更新,PLC信号丢失 传感器反馈数据无更新,0.61,original
PLC程序报错 梯形图逻辑错误导致误动作,PLC通讯故障 与变频器的Modbus连接中断,0.52,original
液压缸动作卡顿 换向时出现滞涩现象,继电器吸合不良 线圈电压正常但触点未闭合,0.42,generated
继电器误动作 无输入信号时触点自行闭合,继电器触点烧蚀 接触电阻增大至5Ω,0.44,original
液压缸压力不足 工作压力仅达额定60,液压缸压力不足 工作压力仅达额定60,0.59,original
传感器抗干扰差 受电磁干扰出现跳变,传感器量程超限 显示值固定为最大值,0.47,original
继电器接触不良 信号传输时断时续,继电器误动作 无输入信号时触点自行闭合,0.83,original
PLC程序报错 梯形图逻辑错误导致误动作,PLC信号丢失 传感器反馈数据无更新,0.52,original
离心泵空转异响 进口阀门未打开导致气蚀,离心泵叶轮磨损 流量下降至额定70,0.62,original
传感器响应延迟 信号滞后2秒,传感器响应延迟 信号滞后2秒,0.63,generated
PLC程序报错 梯形图逻辑错误导致误动作,周期性PLC程序报错 梯形图逻辑错误导致误动作,0.75,generated
继电器吸合不良 线圈电压正常但触点未闭合,继电器触点烧蚀 接触电阻增大至5Ω,0.9,original
变频器参数紊乱 加速时间被异常修改,PLC输入输出点I0 2损坏 无信号输入,0.15,original
轴承滚珠破损 振动频谱出现冲击峰值,PLC输入输出点I0 2损坏 无信号输入,0.79,generated
轴承温升过高 连续运行2小时后温度达80,轴承滚珠破损 振动频谱出现冲击峰值,0.51,original
电机负载达额定120 时出现过热 绕组温度升至105,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.04,original
PLC信号丢失 传感器反馈数据无更新,PLC输入输出点I0 2损坏 无信号输入,0.61,original
PLC信号丢失 传感器反馈数据无更新,PLC通讯故障 与变频器的Modbus连接中断,0.82,original
液压缸动作卡顿 换向时出现滞涩现象,液压缸缓冲装置失效 行程末端冲击过大,0.42,original
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,电机环境湿度80 时出现绝缘不良 间歇性绝缘电阻低于0 5MΩ,0.64,generated
变频器散热风扇故障 散热片温度达75,轴承磨损异响 运转时出现周期性异音,0.03,original
电机连续运行8小时后出现异响 振动值超额定20,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.44,original
轴承磨损异响 运转时出现周期性异音,轴承间隙过大 径向游隙超0 15mm,0.99,original
PLC程序报错 梯形图逻辑错误导致误动作,离心泵轴承发热 温度达75,0.14,original
轴承磨损异响 运转时出现周期性异音,轴承磨损异响 频繁运转时出现周期性异音,0.77,generated
继电器接触不良 信号传输时断时续,继电器接触不良 信号传输时断时续,0.78,generated
继电器线圈烧毁 电阻值无穷大,PLC通讯故障 与变频器的Modbus连接中断,0.07,generated
液压缸压力不足 工作压力仅达额定60,液压缸动作卡顿 换向时出现滞涩现象,0.66,original
离心泵空转异响 进口阀门未打开导致气蚀,变频器频率漂移 设定50Hz实际输出45Hz,0.81,generated
离心泵密封泄漏 机械密封端面磨损,离心泵流量不足 出口管路堵塞,0.92,original
液压缸缓冲装置失效 行程末端冲击过大,电机轴承润滑不足导致转速异常 输出转速波动 5,0.09,original
电机轴承润滑不足导致转速异常 输出转速波动 5,PLC通讯故障 与变频器的Modbus连接中断,0.36,generated
传感器无输出信号 接线端子接触不良,PLC输入输出点I0 2损坏 无信号输入,0.28,original
电机连续运行8小时后出现异响 振动值超额定20,严重电机连续运行8小时后出现异响 振动值超额定20,0.73,generated
PLC通讯故障 与变频器的Modbus连接中断,持续性PLC通讯故障 与变频器的Modbus连接中断,0.74,generated
PLC断电记忆丢失 参数恢复至出厂默认值,PLC断电记忆丢失 在停机时参数恢复至出厂默认值,0.83,generated
液压缸压力不足 工作压力仅达额定60,轴承滚珠破损 振动频谱出现冲击峰值,0.02,original
继电器触点烧蚀 接触电阻增大至5Ω,变频器过压报警 直流母线电压达800V,0.02,generated
PLC输入输出点I0 2损坏 无信号输入,PLC输入输出点I0 2损坏 无信号输入,0.44,original
电机负载达额定120 时出现过热 绕组温度升至105,电机过载停机 故障代码E012 需重启复位,0.69,original
离心泵密封泄漏 机械密封端面磨损,离心泵空转异响 进口阀门未打开导致气蚀,0.99,original
轴承润滑脂干涸 出现干摩擦异响,轴承间隙过大 径向游隙超0 15mm,0.63,original
变频器频率漂移 设定50Hz实际输出45Hz,液压缸缓冲装置失效 行程末端冲击过大,0.22,original
继电器线圈烧毁 电阻值无穷大,继电器接触不良 信号传输时断时续,0.61,original
液压缸动作卡顿 换向时出现滞涩现象,液压缸缓冲装置失效 行程末端冲击过大,0.69,original
继电器线圈烧毁 电阻值无穷大,在负载增加时继电器线圈烧毁 电阻值无穷大,0.93,generated
液压缸密封件损坏导致漏油 每小时泄漏5ml,液压缸压力不足 工作压力仅达额定60,0.91,original
轴承间隙过大 径向游隙超0 15mm,液压缸压力不足 工作压力仅达额定60,0.12,original
离心泵空转异响 进口阀门未打开导致气蚀,离心泵密封泄漏 机械密封端面磨损,0.68,original
继电器触点烧蚀 接触电阻增大至5Ω,继电器接触不良 信号传输时断时续,0.68,original
电机连续运行8小时后出现异响 振动值超额定20,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.64,original
电机轴承润滑不足导致转速异常 输出转速波动 5,电机连续运行8小时后出现异响 振动值超额定20,0.82,original
液压缸压力不足 工作压力仅达额定60,液压缸压力不足 电流不稳时工作压力仅达额定60,0.79,generated
轴承温升过高 连续运行2小时后温度达80,轴承滚珠破损 振动频谱出现冲击峰值,0.8,original
传感器抗干扰差 受电磁干扰出现跳变,电机负载达额定120 时出现过热 绕组温度升至105,0.26,generated
PLC输入输出点I0 2损坏 无信号输入,PLC断电记忆丢失 参数恢复至出厂默认值,0.68,original
轴承间隙过大 径向游隙超0 15mm,轴承润滑脂干涸 出现干摩擦异响,0.54,original
轴承润滑脂干涸 出现干摩擦异响,轴承间隙过大 径向游隙超0 15mm,0.51,original
离心泵流量不足 出口管路堵塞,离心泵流量不足 出口管路堵塞,0.96,generated
变频器过流跳闸 输出电流超额定30,轴承磨损异响 运转时出现周期性异音,0.1,original
变频器过流跳闸 输出电流超额定30,变频器频率漂移 设定50Hz实际输出45Hz,0.88,original
传感器抗干扰差 受电磁干扰出现跳变,传感器无输出信号 接线端子接触不良,0.88,original
液压缸动作卡顿 换向时出现滞涩现象,液压缸压力不足 工作压力仅达额定60,0.5,original
液压缸活塞杆变形 伸出时出现偏斜,液压缸活塞杆变形 伸出时出现偏斜,0.66,original
PLC信号丢失 传感器反馈数据无更新,PLC信号丢失 在停机时传感器反馈数据无更新,0.81,generated
继电器触点烧蚀 接触电阻增大至5Ω,变频器参数紊乱 加速时间被异常修改,0.3,original
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.68,original
电机轴承润滑不足导致转速异常 输出转速波动 5,电机连续运行8小时后出现异响 振动值超额定20,0.57,original
液压缸活塞杆变形 伸出时出现偏斜,液压缸压力不足 工作压力仅达额定60,0.91,original
电机轴承润滑不足导致转速异常 输出转速波动 5,电机轴承润滑不足导致转速异常 输出转速波动 5,0.55,original
变频器散热风扇故障 散热片温度达75,变频器过流跳闸 输出电流超额定30,0.5,original
继电器接触不良 信号传输时断时续,轴承润滑脂干涸 出现干摩擦异响,0.27,original
继电器接触不良 信号传输时断时续,继电器接触不良 信号传输时断时续,0.46,original
轴承温升过高 连续运行2小时后温度达80,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.82,generated
液压缸动作卡顿 换向时出现滞涩现象,传感器响应延迟 信号滞后2秒,0.28,original
液压缸缓冲装置失效 行程末端冲击过大,PLC程序报错 梯形图逻辑错误导致误动作,0.22,original
液压缸密封件损坏导致漏油 每小时泄漏5ml,液压缸缓冲装置失效 行程末端冲击过大,0.9,original
传感器无输出信号 接线端子接触不良,传感器响应延迟 信号滞后2秒,0.9,original
液压缸密封件损坏导致漏油 每小时泄漏5ml,液压缸活塞杆变形 伸出时出现偏斜,0.84,original
电机负载达额定120 时出现过热 绕组温度升至105,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.61,original
液压缸压力不足 工作压力仅达额定60,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.7,original
离心泵密封泄漏 机械密封端面磨损,离心泵轴承发热 温度达75,0.46,original
电机轴承润滑不足导致转速异常 输出转速波动 5,电机过载停机 故障代码E012 需重启复位,0.48,original
PLC信号丢失 传感器反馈数据无更新,PLC输入输出点I0 2损坏 无信号输入,0.64,original
离心泵空转异响 进口阀门未打开导致气蚀,离心泵叶轮磨损 流量下降至额定70,0.63,original
传感器无输出信号 接线端子接触不良,传感器量程超限 显示值固定为最大值,0.83,original
传感器响应延迟 信号滞后2秒,液压缸动作卡顿 换向时出现滞涩现象,0.78,generated
离心泵叶轮磨损 流量下降至额定70,PLC输入输出点I0 2损坏 无信号输入,0.65,generated
变频器散热风扇故障 散热片温度达75,PLC程序报错 梯形图逻辑错误导致误动作,0.25,original
传感器无输出信号 接线端子接触不良,轴承温升过高 连续运行2小时后温度达80,0.04,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器散热风扇故障 散热片温度达75,0.6,original
离心泵流量不足 出口管路堵塞,在停机时离心泵流量不足 出口管路堵塞,0.83,generated
PLC程序报错 梯形图逻辑错误导致误动作,继电器误动作 无输入信号时触点自行闭合,0.2,original
轴承温升过高 连续运行2小时后温度达80,轴承滚珠破损 振动频谱出现冲击峰值,0.48,original
变频器参数紊乱 加速时间被异常修改,变频器参数紊乱 在停机时加速时间被异常修改,0.85,generated
电机轴承润滑不足导致转速异常 输出转速波动 5,电机轴承润滑不足导致转速异常 输出转速波动 5,0.54,original
液压缸压力不足 工作压力仅达额定60,液压缸压力不足 工作压力仅达额定60,0.45,original
传感器量程超限 显示值固定为最大值,变频器参数紊乱 加速时间被异常修改,0.12,generated
液压缸缓冲装置失效 行程末端冲击过大,液压缸缓冲装置失效 行程末端冲击过大,0.5,original
离心泵轴承发热 温度达75,电流不稳时离心泵轴承发热 温度达75,0.9,generated
离心泵密封泄漏 机械密封端面磨损,离心泵轴承发热 温度达75,0.43,original
电机轴承润滑不足导致转速异常 输出转速波动 5,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.56,original
轴承磨损异响 运转时出现周期性异音,继电器触点烧蚀 接触电阻增大至5Ω,0.2,generated
PLC信号丢失 传感器反馈数据无更新,PLC输入输出点I0 2损坏 无信号输入,0.91,original
传感器响应延迟 信号滞后2秒,传感器抗干扰差 受电磁干扰出现跳变,0.57,original
传感器无输出信号 接线端子接触不良,PLC信号丢失 传感器反馈数据无更新,0.08,original
电机过载停机 故障代码E012 需重启复位,PLC输入输出点I0 2损坏 无信号输入,0.32,generated
离心泵流量不足 出口管路堵塞,离心泵轴承发热 温度达75,0.66,original
继电器吸合不良 线圈电压正常但触点未闭合,继电器吸合不良 周期性线圈电压正常但触点未闭合,0.85,generated
轴承磨损异响 运转时出现周期性异音,轴承温升过高 连续运行2小时后温度达80,0.65,original
电机过载停机 故障代码E012 需重启复位,轴承滚珠破损 振动频谱出现冲击峰值,0.74,generated
变频器参数紊乱 加速时间被异常修改,变频器过流跳闸 输出电流超额定30,0.87,original
继电器吸合不良 线圈电压正常但触点未闭合,继电器吸合不良 间歇性线圈电压正常但触点未闭合,0.97,generated
液压缸活塞杆变形 伸出时出现偏斜,液压缸缓冲装置失效 行程末端冲击过大,0.96,original
继电器线圈烧毁 电阻值无穷大,继电器触点烧蚀 接触电阻增大至5Ω,0.65,original
PLC程序报错 梯形图逻辑错误导致误动作,PLC输入输出点I0 2损坏 无信号输入,0.65,original
变频器散热风扇故障 散热片温度达75,继电器线圈烧毁 电阻值无穷大,0.32,generated
电机连续运行8小时后出现异响 振动值超额定20,电机负载达额定120 时出现过热 绕组温度升至105,0.94,original
轴承磨损异响 运转时出现周期性异音,轴承温升过高 连续运行2小时后温度达80,0.63,original
传感器抗干扰差 受电磁干扰出现跳变,传感器无输出信号 接线端子接触不良,0.53,original
轴承间隙过大 径向游隙超0 15mm,继电器接触不良 信号传输时断时续,0.18,original
液压缸活塞杆变形 伸出时出现偏斜,轴承磨损异响 运转时出现周期性异音,0.06,original
轴承温升过高 连续运行2小时后温度达80,在负载增加时轴承温升过高 连续运行2小时后温度达80,0.61,generated
轴承滚珠破损 振动频谱出现冲击峰值,轴承磨损异响 运转时出现周期性异音,0.86,original
PLC通讯故障 与变频器的Modbus连接中断,PLC通讯故障 与变频器的Modbus连接中断,0.59,original
离心泵轴承发热 温度达75,离心泵空转异响 进口阀门未打开导致气蚀,0.6,original
离心泵流量不足 出口管路堵塞,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.03,generated
变频器过流跳闸 输出电流超额定30,变频器过压报警 直流母线电压达800V,0.55,original
继电器触点烧蚀 接触电阻增大至5Ω,传感器量程超限 显示值固定为最大值,0.29,original
继电器线圈烧毁 电阻值无穷大,继电器线圈烧毁 电阻值无穷大,0.69,generated
继电器线圈烧毁 电阻值无穷大,轻微继电器线圈烧毁 电阻值无穷大,0.77,generated
变频器参数紊乱 加速时间被异常修改,继电器接触不良 信号传输时断时续,0.31,generated
轴承间隙过大 径向游隙超0 15mm,轴承润滑脂干涸 出现干摩擦异响,0.92,original
轴承润滑脂干涸 出现干摩擦异响,轴承滚珠破损 振动频谱出现冲击峰值,0.52,original
轴承磨损异响 运转时出现周期性异音,轴承滚珠破损 振动频谱出现冲击峰值,0.54,original
变频器参数紊乱 加速时间被异常修改,传感器响应延迟 信号滞后2秒,0.25,original
离心泵叶轮磨损 流量下降至额定70,离心泵叶轮磨损 流量下降至额定70,0.67,original
传感器无输出信号 接线端子接触不良,传感器数值漂移 测量值比实际值高10,0.04,generated
PLC输入输出点I0 2损坏 无信号输入,PLC输入输出点I0 2损坏 在启动时无信号输入,0.87,generated
继电器吸合不良 线圈电压正常但触点未闭合,继电器误动作 无输入信号时触点自行闭合,0.67,original
液压缸密封件损坏导致漏油 每小时泄漏5ml,液压缸缓冲装置失效 行程末端冲击过大,0.66,original
离心泵密封泄漏 机械密封端面磨损,离心泵流量不足 出口管路堵塞,0.51,original
液压缸动作卡顿 换向时出现滞涩现象,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.95,original
继电器接触不良 信号传输时断时续,继电器线圈烧毁 电阻值无穷大,0.89,original
